State,County,factor_1,contribution_1,factor_2,contribution_2,factor_3,contribution_3,predicted_life_expectancy,actual_life_expectancy
Alabama,Autauga,E_TOTCR,-0.696361787,Cervical cancer screening among adult women aged 21-65 years,0.6045345950343227,% Unemployed,-0.480251064,74.17646937,74.8
Alabama,Baldwin,Cervical cancer screening among adult women aged 21-65 years,0.8189814835774405,Obesity among adults aged >=18 years,0.500869964,% Unemployed,-0.445389329,76.13455756114685,76.6
Alabama,Blount,% Food Insecure,-0.647490898,% Unemployed,-0.515112798,E_TOTCR,-0.412954214,72.59497850539407,72.9
Alabama,Calhoun,Current asthma among adults aged >=18 years,-0.959795184,% Food Insecure,-0.899814937,Obesity among adults aged >=18 years,-0.505624795,71.49313747825322,70.8
Alabama,Chambers,Current asthma among adults aged >=18 years,-0.959795184,E_TOTCR,-0.716699911,% Food Insecure,-0.647490898,70.99442312,71.9
Alabama,Cherokee,% Food Insecure,-0.899814937,Current asthma among adults aged >=18 years,-0.416856379,E_TOTCR,-0.412954214,72.07267247273342,72.4
Alabama,Clarke,Current asthma among adults aged >=18 years,-1.192483243,% Food Insecure,-1.152138976,E_UNEMP,-0.906347118,69.30337687058775,69.9
Alabama,Clay,% Food Insecure,-0.899814937,Current asthma among adults aged >=18 years,-0.882232497,E_TOTCR,-0.412954214,71.32913310228503,71.9
Alabama,Cleburne,% Food Insecure,-0.899814937,% Unemployed,-0.445389329,Current asthma among adults aged >=18 years,-0.416856379,72.75804264347845,72.1
Alabama,Colbert,% Food Insecure,-0.899814937,Current asthma among adults aged >=18 years,-0.416856379,E_TOTCR,-0.412954214,72.98977037337391,73
Alabama,Conecuh,Current asthma among adults aged >=18 years,-1.425171303,Sleeping less than 7 hours among adults aged >=18 years,-0.778295202,Obesity among adults aged >=18 years,-0.71386509,69.72398603187219,69
Alabama,Coosa,Current asthma among adults aged >=18 years,-0.882232497,Sleeping less than 7 hours among adults aged >=18 years,-0.482548639,Obesity among adults aged >=18 years,-0.47091808,71.45291502739865,72.2
Alabama,Covington,% Food Insecure,-1.152138976,Current asthma among adults aged >=18 years,-0.727107125,Household Income (Pacific Islander),-0.450594473,71.54869417602859,70.6
Alabama,Cullman,% Food Insecure,-0.647490898,% Unemployed,-0.549974533,E_TOTCR,-0.412954214,73.22494871785709,72.9
Alabama,Elmore,E_TOTCR,-0.730041951,Cervical cancer screening among adult women aged 21-65 years,0.6283620270946679,% Unemployed,-0.515112798,73.68997679206079,74.6
Alabama,Escambia,% Food Insecure,-1.152138976,Current asthma among adults aged >=18 years,-0.959795184,Sleeping less than 7 hours among adults aged >=18 years,-0.668759438,69.78466889736693,70.1
Alabama,Fayette,% Food Insecure,-1.656787054,Current asthma among adults aged >=18 years,-0.727107125,E_UNEMP,-0.574100579,70.41749431,70.7
Alabama,Franklin,% Food Insecure,-0.899814937,Household Income (Pacific Islander),-0.463285237,E_TOTCR,-0.412954214,72.29498159113086,71.5
Alabama,Geneva,% Food Insecure,-1.656787054,Current asthma among adults aged >=18 years,-0.804669811,Obesity among adults aged >=18 years,-0.653128338,70.49208722,70.6
Alabama,Houston,Current asthma among adults aged >=18 years,-0.727107125,% Food Insecure,-0.647490898,E_TOTCR,-0.412954214,72.55731412400007,73.5
Alabama,Jackson,% Food Insecure,-1.404463015,Current asthma among adults aged >=18 years,-0.727107125,E_TOTCR,-0.412954214,71.30646540469397,70.9
Alabama,Lamar,% Food Insecure,-1.152138976,Current asthma among adults aged >=18 years,-0.727107125,Household Income (Pacific Islander),-0.427071547,71.42111396178518,72.4
Alabama,Lauderdale,E_TOTCR,-0.412954214,% Food Insecure,-0.395166859,% Unemployed,-0.37566586,74.13588282317308,74.9
Alabama,Lowndes,Current asthma among adults aged >=18 years,-2.123235481,Sleeping less than 7 hours among adults aged >=18 years,-1.052134613,Obesity among adults aged >=18 years,-0.922105385,67.91702605700594,67.6
Alabama,Madison,Cervical cancer screening among adult women aged 21-65 years,0.7236717553360559,Household Income (Pacific Islander),0.596408072,% Unemployed,-0.549974533,76.04118858,76.5
Alabama,Marengo,Current asthma among adults aged >=18 years,-1.347608616,% Food Insecure,-0.899814937,Obesity among adults aged >=18 years,-0.826661917,69.83458413,70.8
Alabama,Marion,% Food Insecure,-1.404463015,Current asthma among adults aged >=18 years,-0.571981752,Household Income (Pacific Islander),-0.488056912,71.4523158,72.4
Alabama,Marshall,% Food Insecure,-0.899814937,% Unemployed,-0.515112798,Current asthma among adults aged >=18 years,-0.416856379,72.27307990911507,71.9
Alabama,Mobile,Cervical cancer screening among adult women aged 21-65 years,0.7236717553360559,Current asthma among adults aged >=18 years,-0.649544438,Sleeping less than 7 hours among adults aged >=18 years,-0.405873604,72.82324650293951,72.6
Alabama,Montgomery,E_TOTCR,-0.78013626,Cervical cancer screening among adult women aged 21-65 years,0.7474991873964012,Current asthma among adults aged >=18 years,-0.727107125,71.97852530780406,72.7
Alabama,Morgan,E_TOTCR,-0.696261672,% Unemployed,-0.549974533,% Food Insecure,-0.395166859,73.60314020652568,72.8
Alabama,Pike,Current asthma among adults aged >=18 years,-1.03735787,% Food Insecure,-0.647490898,Sleeping less than 7 hours among adults aged >=18 years,-0.493502215,70.96426027311851,71.6
Alabama,Russell,% Food Insecure,-1.152138976,Current asthma among adults aged >=18 years,-1.03735787,E_TOTCR,-0.831192635,70.41475194444482,71
Alabama,St. Clair,E_TOTCR,-0.672394982,% Unemployed,-0.515112798,Household Income (Pacific Islander),0.3692230689506228,73.72581567083589,72.8
Alabama,Talladega,Current asthma among adults aged >=18 years,-0.959795184,% Food Insecure,-0.899814937,E_TOTCR,-0.554281822,70.51708731857309,70.5
Alabama,Washington,Current asthma among adults aged >=18 years,-0.959795184,E_TOTCR,-0.412954214,% Food Insecure,-0.395166859,71.92119602,72.6
Alabama,Wilcox,Current asthma among adults aged >=18 years,-2.045672794,% Unemployed,1.5417295444838819,% Food Insecure,-1.404463015,68.19601719,68.7
Arizona,Cochise,E_TOTCR,0.3999977508153574,Household Income (Pacific Islander),-0.366608914,% Unemployed,0.3215688326343465,75.78901967435307,76.1
Arizona,Coconino,Obesity among adults aged >=18 years,0.752493653,Current asthma among adults aged >=18 years,-0.649544438,E_TOTCR,0.5711096298136862,76.72501766123062,75.9
Arizona,Maricopa,Household Income (Pacific Islander),0.6196696323865116,% Food Insecure,0.6141292976744643,Obesity among adults aged >=18 years,0.44880988981242953,77.22114608521187,77.5
Arizona,Pima,Obesity among adults aged >=18 years,0.4748399266840888,E_PARK,0.34411261482112826,Current asthma among adults aged >=18 years,-0.339293692,76.62314974903006,76.5
Arizona,Yavapai,Obesity among adults aged >=18 years,0.6570501847857029,Current asthma among adults aged >=18 years,-0.494419065,E_TOTCR,0.4503059970438221,76.74637188007068,76.4
Arkansas,Ashley,% Food Insecure,-1.656787054,% Unemployed,0.7050479135013431,Current asthma among adults aged >=18 years,-0.649544438,71.54849907942346,70.9
Arkansas,Benton,Household Income (Pacific Islander),0.7840106693164391,Current asthma among adults aged >=18 years,0.746583918,Sleeping less than 7 hours among adults aged >=18 years,0.43755178096459507,77.68980435916552,78.2
